,Date,Region,Area,Cases,"Cases per 100,000"
313,2020-03-30,Northwest County,Unincorporated - Saugus,0,0.0
314,2020-03-30,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0
315,2020-03-30,Antelope Valley,Unincorporated - South Antelope Valley,0,0.0
316,2020-03-30,Antelope Valley,Unincorporated - South Edwards,0,0.0
317,2020-03-30,San Gabriel Valley,Unincorporated - South El Monte,0,0.0
318,2020-03-30,San Gabriel Valley,Unincorporated - South San Gabriel,0,0.0
319,2020-03-30,Southeast,Unincorporated - South Whittier,5,8.58
320,2020-03-30,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0
321,2020-03-30,Northwest County,Unincorporated - Stevenson Ranch,,
322,2020-03-30,Antelope Valley,Unincorporated - Sun Village,0,0.0
323,2020-03-30,San Gabriel Valley,Unincorporated - Sunrise Village,0,0.0
324,2020-03-30,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,0,0.0
325,2020-03-30,San Fernando Valley,Unincorporated - Universal City,0,0.0
326,2020-03-30,Northwest County,Unincorporated - Val Verde,0,0.0
327,2020-03-30,Northwest County,Unincorporated - Valencia,,
328,2020-03-30,San Gabriel Valley,Unincorporated - Valinda,,
329,2020-03-30,South LA,Unincorporated - View Park/Windsor Hills,0,0.0
330,2020-03-30,San Gabriel Valley,Unincorporated - Walnut,0,0.0
331,2020-03-30,Southeast,Unincorporated - Walnut Park,0,0.0
332,2020-03-30,Antelope Valley,Unincorporated - West Antelope Valley,0,0.0
333,2020-03-30,Harbor,Unincorporated - West Carson,8,36.49
334,2020-03-30,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0
335,2020-03-30,San Gabriel Valley,Unincorporated - West Puente Valley,0,0.0
336,2020-03-30,Harbor,Unincorporated - West Rancho Dominguez,0,0.0
337,2020-03-30,Southeast,Unincorporated - West Whittier/Los Nietos,0,0.0
338,2020-03-30,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0
339,2020-03-30,San Fernando Valley,Unincorporated - Westhills,0,0.0
340,2020-03-30,Antelope Valley,Unincorporated - White Fence Farms,0,0.0
341,2020-03-30,San Gabriel Valley,Unincorporated - Whittier,0,0.0
342,2020-03-30,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0
343,2020-03-30,South LA,Unincorporated - Willowbrook,2,5.78
344,2020-03-30,South Bay,Unincorporated - Wiseburn,,
345,2020-03-30,Harbor,City of Long Beach,99,21.4
346,2020-03-30,Verdugos,City of Pasadena,10,7.09
347,2020-03-31,Santa Monica Mountains,City of Agoura Hills,11,51.97
348,2020-03-31,San Gabriel Valley,City of Alhambra,13,14.99
349,2020-03-31,San Gabriel Valley,City of Arcadia,10,17.55
350,2020-03-31,Southeast,City of Artesia,,
351,2020-03-31,Harbor,City of Avalon,0,0.0
