Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-04-21,Santa Monica Mountains,98,131.55,7,8.77
2020-04-21,South Bay,1144,147.47,122,15.73
2020-04-21,South LA,1418,168.2,173,20.52
2020-04-21,Southeast,1640,132.25,166,12.95
2020-04-21,Verdugos,796,234.93,80,23.61
2020-04-21,Westside,859,152.65,41,7.28
2020-04-22,Angeles Forest,0,0.0,0,0.0
2020-04-22,Antelope Valley,536,146.73,67,23.37
2020-04-22,Central LA,2203,251.39,147,15.53
2020-04-22,Eastside,470,167.9,52,19.21
2020-04-22,Harbor,1063,263.05,59,12.34
2020-04-22,Northeast LA,285,169.07,27,16.01
2020-04-22,Northwest County,326,117.52,34,11.37
2020-04-22,Pomona Valley,145,63.47,16,7.0
2020-04-22,San Fernando Valley,2836,171.73,293,17.6
2020-04-22,San Gabriel Valley,1127,76.31,131,8.87
2020-04-22,Santa Monica Mountains,100,134.47,2,2.92
2020-04-22,South Bay,1182,152.37,38,4.9
2020-04-22,South LA,1574,186.7,156,18.5
2020-04-22,Southeast,1773,142.66,133,10.41
2020-04-22,Verdugos,846,249.69,50,14.76
2020-04-22,Westside,878,156.03,19,3.38
2020-04-23,Angeles Forest,0,0.0,0,0.0
2020-04-23,Antelope Valley,586,161.88,50,15.15
2020-04-23,Central LA,2306,262.62,103,11.23
2020-04-23,Eastside,525,192.51,55,24.61
2020-04-23,Harbor,1116,272.65,53,9.6
2020-04-23,Northeast LA,292,173.23,7,4.16
2020-04-23,Northwest County,336,121.31,10,3.79
2020-04-23,Pomona Valley,157,68.73,12,5.26
2020-04-23,San Fernando Valley,3039,183.74,203,12.01
2020-04-23,San Gabriel Valley,1222,82.75,95,6.44
2020-04-23,Santa Monica Mountains,102,137.39,2,2.92
2020-04-23,South Bay,1228,158.3,46,5.93
2020-04-23,South LA,1710,202.84,136,16.14
2020-04-23,Southeast,1895,152.54,122,9.88
2020-04-23,Verdugos,891,262.97,45,13.28
2020-04-23,Westside,902,160.29,24,4.26
2020-04-24,Angeles Forest,0,0.0,0,0.0
2020-04-24,Antelope Valley,621,168.8,35,6.92
2020-04-24,Central LA,2401,273.97,95,11.35
2020-04-24,Eastside,571,208.27,46,15.76
2020-04-24,Harbor,1159,283.63,43,10.98
2020-04-24,Northeast LA,305,180.94,13,7.71
2020-04-24,Northwest County,351,126.62,15,5.31
2020-04-24,Pomona Valley,164,71.79,7,3.06
2020-04-24,San Fernando Valley,3224,195.16,185,11.42
2020-04-24,San Gabriel Valley,1297,87.83,75,5.08
2020-04-24,Santa Monica Mountains,105,140.32,3,2.93
2020-04-24,South Bay,1263,162.81,35,4.51
2020-04-24,South LA,1850,219.44,140,16.6
2020-04-24,Southeast,1989,159.98,94,7.44
2020-04-24,Verdugos,975,287.76,84,24.79
2020-04-24,Westside,917,162.96,15,2.67
2020-04-25,Angeles Forest,2,57.72,2,57.72
2020-04-25,Antelope Valley,671,183.95,50,15.15
2020-04-25,Central LA,2454,280.31,53,6.34
2020-04-25,Eastside,595,217.13,24,8.86
2020-04-25,Harbor,1220,295.42,61,11.79
2020-04-25,Northeast LA,313,185.68,8,4.74
2020-04-25,Northwest County,374,134.96,23,8.34
2020-04-25,Pomona Valley,170,74.42,6,2.63
2020-04-25,San Fernando Valley,3325,201.33,101,6.17
2020-04-25,San Gabriel Valley,1366,92.5,69,4.67
2020-04-25,Santa Monica Mountains,106,141.78,1,1.46
2020-04-25,South Bay,1297,167.19,34,4.38
2020-04-25,South LA,1912,226.8,62,7.36
2020-04-25,Southeast,2058,165.57,69,5.59
2020-04-25,Verdugos,994,293.37,19,5.61
2020-04-25,Westside,932,165.62,15,2.66
2020-04-26,Angeles Forest,2,57.72,0,0.0
2020-04-26,Antelope Valley,686,186.55,15,2.6
2020-04-26,Central LA,2504,285.2,50,4.89
2020-04-26,Eastside,600,218.12,5,0.99
2020-04-26,Harbor,1262,303.1,42,7.68
2020-04-26,Northeast LA,320,189.84,7,4.16
2020-04-26,Northwest County,376,135.72,2,0.76
2020-04-26,Pomona Valley,171,74.86,1,0.44
2020-04-26,San Fernando Valley,3411,206.45,86,5.12
2020-04-26,San Gabriel Valley,1398,94.67,32,2.17
2020-04-26,Santa Monica Mountains,107,143.24,1,1.46
2020-04-26,South Bay,1308,168.61,11,1.42
2020-04-26,South LA,1966,233.2,54,6.4
2020-04-26,Southeast,2102,169.25,44,3.68
2020-04-26,Verdugos,1010,298.09,16,4.72
2020-04-26,Westside,943,167.58,11,1.96
2020-04-27,Angeles Forest,2,57.72,0,0.0
2020-04-27,Antelope Valley,732,197.8,46,11.25
2020-04-27,Central LA,2587,293.33,83,8.13
2020-04-27,Eastside,655,238.8,55,20.68
2020-04-27,Harbor,1305,312.15,43,9.05
2020-04-27,Northeast LA,329,195.18,9,5.34
2020-04-27,Northwest County,396,143.3,20,7.58
2020-04-27,Pomona Valley,188,82.3,17,7.44
2020-04-27,San Fernando Valley,3647,219.91,236,13.46
2020-04-27,San Gabriel Valley,1460,98.86,62,4.19
2020-04-27,Santa Monica Mountains,107,143.24,0,0.0
2020-04-27,South Bay,1355,174.67,47,6.06
2020-04-27,South LA,2084,247.2,118,14.0
2020-04-27,Southeast,2164,174.32,62,5.07
2020-04-27,Verdugos,1054,311.08,44,12.99
2020-04-27,Westside,953,169.36,10,1.78
2020-04-28,Angeles Forest,2,57.72,0,0.0
2020-04-28,Antelope Valley,741,199.54,9,1.74
2020-04-28,Central LA,2656,300.38,69,7.05
2020-04-28,Eastside,675,246.18,20,7.38
2020-04-28,Harbor,1348,319.01,43,6.86
2020-04-28,Northeast LA,339,201.11,10,5.93
