Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-05-28,Metro,6716,108,138.4,563.5,11.62
2020-05-28,West,1968,40,22.4,295.0,3.36
2020-05-28,South,5745,200,156.9,546.8,14.94
2020-05-28,East,6855,139,196.6,518.9,14.89
2020-05-28,South Bay,6673,146,118.6,425.2,7.55
2020-05-29,Antelope Valley,1477,53,24.8,371.8,6.24
2020-05-29,San Fernando,13003,328,225.4,578.3,10.03
2020-05-29,San Gabriel,5970,200,142.9,329.0,7.88
2020-05-29,Metro,6903,187,144.5,579.2,12.12
2020-05-29,West,2004,36,22.7,300.4,3.4
2020-05-29,South,5989,244,166.5,570.0,15.85
2020-05-29,East,7390,535,225.5,559.4,17.07
2020-05-29,South Bay,6856,183,122.3,436.8,7.79
2020-05-30,Antelope Valley,1507,30,24.9,379.3,6.27
2020-05-30,San Fernando,13448,445,239.0,598.1,10.63
2020-05-30,San Gabriel,6205,235,151.4,342.0,8.34
2020-05-30,Metro,7167,264,150.3,601.4,12.61
2020-05-30,West,2039,35,23.6,305.6,3.54
2020-05-30,South,6275,286,175.9,597.2,16.74
2020-05-30,East,7926,536,252.1,600.0,19.08
2020-05-30,South Bay,7101,245,130.6,452.4,8.32
2020-05-31,Antelope Valley,1549,42,26.6,389.9,6.69
2020-05-31,San Fernando,13808,360,252.6,614.1,11.23
2020-05-31,San Gabriel,6345,140,156.7,349.7,8.64
2020-05-31,Metro,7374,207,160.1,618.7,13.43
2020-05-31,West,2064,25,23.6,309.3,3.53
2020-05-31,South,6472,197,182.2,616.0,17.34
2020-05-31,East,8081,155,257.4,611.8,19.48
2020-05-31,South Bay,7286,185,134.9,464.2,8.6
2020-06-01,Antelope Valley,1572,23,26.7,395.7,6.72
2020-06-01,San Fernando,14058,250,261.6,625.3,11.64
2020-06-01,San Gabriel,6466,121,162.0,356.4,8.93
2020-06-01,Metro,7457,83,162.6,625.7,13.64
