Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-07-20,0 to 17,12113,577.6358180940737,13.24002798016101
2020-07-20,18 to 40,67616,2091.907039829024,44.62150436522595
2020-07-20,41 to 65,53013,1683.2110076595895,29.233516696352254
2020-07-20,over 65,17310,1476.26463258835,17.763421922206934
2020-07-21,0 to 17,12389,590.7975027134053,12.746124183628119
2020-07-21,18 to 40,68766,2127.485794795354,42.69671582015307
2020-07-21,41 to 65,53861,1710.1357795928009,28.50097783732031
2020-07-21,over 65,17538,1495.7093660505188,17.665954586556964
2020-07-22,0 to 17,12729,607.0111721720023,13.400120934899256
2020-07-22,18 to 40,70046,2167.0864959752694,43.041454067031786
2020-07-22,41 to 65,54825,1740.7436571206497,29.013528246426254
2020-07-22,over 65,17772,1515.66580302485,17.824339006988165
2020-07-23,0 to 17,12910,615.6425667955494,13.737338009773435
2020-07-23,18 to 40,70870,2192.57944735984,43.262440122723284
2020-07-23,41 to 65,55397,1758.9051778114479,29.142799809784833
2020-07-23,over 65,17899,1526.4968606989528,17.73296337981632
2020-07-24,0 to 4,2174,413.39207785614184,
2020-07-24,5 to 11,4780,561.2133479546239,
2020-07-24,12 to 17,6138,853.2382881298679,
2020-07-24,18 to 29,39134,2297.374169539803,
2020-07-24,30 to 49,55687,2043.2222201838229,
2020-07-24,50 to 64,31505,1696.747286173758,
2020-07-24,65 to 79,12906,1385.6723667554588,
2020-07-24,over 80,6468,1917.6603831762955,
2020-07-25,0 to 4,2256,428.9846033318565,
2020-07-25,5 to 11,4957,581.994679039973,
2020-07-25,12 to 17,6323,878.954984660338,
2020-07-25,18 to 29,40086,2353.2616384773482,
2020-07-25,30 to 49,56867,2086.5178227448678,
2020-07-25,50 to 64,32059,1726.5837564654662,
2020-07-25,65 to 79,13073,1403.6025763671248,
2020-07-25,over 80,6536,1937.821314848526,
2020-07-26,0 to 4,2276,432.7876583259332,
2020-07-26,5 to 11,5010,588.2173375005577,
2020-07-26,12 to 17,6403,890.075718295136,
2020-07-26,18 to 29,40436,2373.808502057328,
2020-07-26,30 to 49,57413,2106.551211726504,
2020-07-26,50 to 64,32387,1744.2486702843835,
2020-07-26,65 to 79,13186,1415.73499364927,
2020-07-26,over 80,6579,1950.570139288319,
2020-07-27,0 to 4,2314,440.01346281467903,
2020-07-27,5 to 11,5118,600.8974717221266,
2020-07-27,12 to 17,6535,908.4249287925525,
2020-07-27,18 to 29,41024,2408.3272328716944,
2020-07-27,30 to 49,58057,2130.180337192023,
2020-07-27,50 to 64,32717,1762.0212969924407,
2020-07-27,65 to 79,13304,1428.404243554519,
2020-07-27,over 80,6617,1961.8365422816246,
2020-07-28,0 to 4,2342,445.3377398063865,
2020-07-28,5 to 11,5207,611.346841589901,
2020-07-28,12 to 17,6658,925.5230567560542,
2020-07-28,18 to 29,41698,2447.8946215942838,
2020-07-28,30 to 49,58924,2161.991597717808,
2020-07-28,50 to 64,33187,1787.3338259402797,
2020-07-28,65 to 79,13468,1446.0123535923228,
2020-07-28,over 80,6684,1981.7009896645577,
2020-07-29,0 to 4,2449,465.68408402469703,
2020-07-29,5 to 11,5433,637.8811965350359,
2020-07-29,12 to 17,6921,962.0824685804522,
2020-07-29,18 to 29,42935,2520.513108018384,
2020-07-29,30 to 49,60443,2217.7255132180007,
2020-07-29,50 to 64,33908,1826.164322475156,
2020-07-29,65 to 79,13717,1472.7466182228907,
2020-07-29,over 80,6753,2002.1584056260858,
2020-07-30,0 to 4,2498,475.0015687601851,
2020-07-30,5 to 11,5552,651.8528259088016,
2020-07-30,12 to 17,7057,980.9877157596087,
2020-07-30,18 to 29,43600,2559.552148820346,
2020-07-30,30 to 49,61247,2247.225228861289,
2020-07-30,50 to 64,34347,1849.807301641329,
