Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Unincorporated - La Habra Heights,San Gabriel,676.0,False,16,2367,0.0,0.0,1,148
Unincorporated - La Rambla,South Bay,2075.0,False,277,13349,0.21,10.29,21,1012
Unincorporated - La Verne,San Gabriel,2040.0,True,171,8382,0.29,14.0,1,49
Unincorporated - Ladera Heights,West,7071.0,False,427,6039,1.36,19.21,10,141
Unincorporated - Lake Hughes,San Fernando,668.0,False,42,6287,0.0,0.0,1,150
Unincorporated - Lake Los Angeles,Antelope Valley,12994.0,False,1626,12513,1.29,9.86,18,139
Unincorporated - Lake Manor,San Fernando,1643.0,False,142,8643,0.64,39.14,2,122
Unincorporated - Lakewood,East,,False,0,0,0.0,0.0,0,0
Unincorporated - Lennox,West,22542.0,False,3589,15921,1.36,6.0,53,235
Unincorporated - Leona Valley,Antelope Valley,1751.0,False,116,6625,0.14,8.14,1,57
Unincorporated - Littlerock,Antelope Valley,4021.0,False,540,13429,0.0,0.0,7,174
Unincorporated - Littlerock/Juniper Hills,Antelope Valley,1297.0,False,126,9715,0.0,0.0,2,154
Unincorporated - Littlerock/Pearblossom,Antelope Valley,3569.0,False,541,15158,0.14,4.0,11,308
Unincorporated - Llano,Antelope Valley,877.0,False,41,4675,0.0,0.0,1,114
Unincorporated - Marina del Rey,West,9411.0,False,449,4771,2.86,30.36,4,43
Unincorporated - Miracle Mile,San Fernando,,False,0,0,0.0,0.0,0,0
Unincorporated - Monrovia,San Gabriel,3881.0,False,379,9766,0.14,3.71,0,0
Unincorporated - Newhall,San Fernando,220.0,False,69,31364,0.0,0.0,1,455
Unincorporated - North Lancaster,Antelope Valley,1198.0,False,165,13773,0.07,6.0,2,167
Unincorporated - North Whittier,San Gabriel,8360.0,False,1140,13636,1.29,15.36,28,335
Unincorporated - Northeast San Gabriel,San Gabriel,24036.0,False,1658,6898,1.36,5.64,41,171
Unincorporated - Padua Hills,San Gabriel,,False,11,5116,0.07,33.21,0,0
Unincorporated - Palmdale,Antelope Valley,842.0,False,111,13183,0.0,0.0,4,475
Unincorporated - Palos Verdes Peninsula,South Bay,621.0,False,24,3865,0.07,11.5,0,0
Unincorporated - Pearblossom/Llano,Antelope Valley,1956.0,False,134,6851,0.36,18.29,1,51
